Product Description,Price(Dollar),Number of  reviews,category
Harman Kardon Onyx Studio 7 Bluetooth Wireless Portable Speaker - 8 Hours Music Play time - Black,134,"1,680",amazon_audio_video
"Cobra 29 LTD Professional CB Radio - Easy to Operate Emergency Radio, Instant Channel 9, 4-Watt Output, Full 40 Channels, Adjustable Receiver and SWR Calibration, Dual-Mode AM/FM Access, Black",139,"3,479",amazon_audio_video
"Amazon Basics 2-Pack 3.5mm Aux Audio Cable for Stereo Speaker or Subwoofer with Gold-Plated Plugs, 4 Foot, Black",7,"72,951",amazon_audio_video
"SAMSUNG 15W Wireless Charger Duo w/ USB C Cable, Charge 2 Devices at Once, Cordless Super Fast Charging Pad for Galaxy Phones and Devices, 2022, US Version, Black",46,"1,066",amazon_audio_video
"Belkin Wireless Charger - Qi-Certified 10W Max Fast Charging Pad - Quick Charge Cordless Flat Charger - Universal Qi Compatibility for iPhone, Samsung Galaxy, AirPods, Google Pixel, and more",13,"2,563",amazon_audio_video
"JBL Charge 3 Waterproof Portable Bluetooth Speaker (Black), 1",131,"41,637",amazon_audio_video
"Belkin Magnetic Wireless Car Charger - MagSafe Compatible Car Mount Wireless Charger - Air Vent Mount With Included Power Supply for iPhone 14, iPhone 13 & iPhone 12 - Car Magnetic Phone Mount Charger",59,"1,808",amazon_audio_video
Marshall Emberton II Portable Bluetooth Speaker - Black & Brass,168,492,amazon_audio_video
"Adaptive Fast Type C Charger Compatible Samsung Galaxy S21+ S21 Ultra 5G S9 S8 Plus S10 S10e S20 FE Note 8 9 10 20 Plus, 2 Pack Charging Adapter + 2 Pack 6.6ft USB-C Cables",12,"14,845",amazon_audio_video
"Altec Lansing Mini H2O - Waterproof Bluetooth Speaker, IP67 Certified & Floats in Water, Compact & Portable Speaker for Hiking, Camping, Pool, and Beach",12,"15,081",amazon_audio_video
PopSockets PopMount Multi-Surface Mount for PopSockets PopGrip - Black,9,"1,935",amazon_audio_video
"Motorola T200TP Talkabout Radio, 3 Pack",84,"3,013",amazon_audio_video
"Pyle Marine Radio Receiver Speaker Set 12v Single Din Style Bluetooth Compatible Waterproof Digital Boat In Dash Console System with Mic 4 Speakers, Remote Control, Wiring Harness PLMRKT38W (White)",59,"1,631",amazon_audio_video
"JBL Flip 6 - Portable Bluetooth Speaker, powerful sound and deep bass, IPX7 waterproof, 12 hours of playtime, JBL PartyBoost for multiple speaker pairing, for home, outdoor and travel (Grey)",99,"6,019",amazon_audio_video
4 Long Range Walkie Talkies Rechargeable for Adults - NOAA 2 Way Radios Walkie Talkies 4 Pack - Long Distance Walkie-Talkies with Earpiece and Mic Set Headsets USB Charger Battery Weather Alert,79,"4,806",amazon_audio_video
"Cobra HHRT50 Road Trip CB Radio - 2-Way Handheld Emergency Radio with Access to Full 40 Channels & NOAA Alerts, Rooftop Magnet Mount Antenna and Omni-Directional Microphone, Black, 6.3"" x 2"" x 1.75""",89,"2,673",amazon_audio_video
"DEWALT DXFRS800 2 Watt Heavy Duty Walkie Talkies - Waterproof, Shock Resistant, Long Range & Rechargeable Two-Way Radio with VOX (2 Pack)",149,"2,556",amazon_audio_video
"PopSockets Multi-Use Phone Mount Dash Mount, Windshield Phone Mount, and Phone Mount for Desk - Black",29,"3,810",amazon_audio_video
MOTOROLA SOLUTIONS Talkabout T460 Rechargeable Two-Way Radio Pair (Dark Blue),82,"5,195",amazon_audio_video
"DEWALT 12V/20V MAX Bluetooth Radio, Cordless, 100 ft Range, 3.5 Subwoofers, Portable for Jobsites (DCR028B)",179,"2,703",amazon_audio_video
"SanDisk 8GB Clip Jam MP3 Player, Black - microSD card slot and FM Radio - SDMX26-008G-G46K",34,"7,339",amazon_audio_video
Bitty Boomers Marvel Black Panther Blacklight - Mini Bluetooth Speaker,5,66,amazon_audio_video
Nite Ize Original Steelie Magnetic Phone Socket - Additional Magnet for Steelie Phone Mounting Systems,14,"15,641",amazon_audio_video
"ByronStatics Portable Radio AM FM, Vintage Retro Radio with Built in Speakers, Best Reception and Longest Lasting, Power Plug or 1.5V AA Battery - Cream",16,"9,491",amazon_audio_video
"SAMSUNG 45W Power Adapter (w/Cable C-to-C),USB,Black",39,830,amazon_audio_video
"Marshall Stanmore II Wireless Bluetooth Speaker, Black - NEW",379,"4,947",amazon_audio_video
"Cobra PX650 BCH6 - Professional/Business Walkie Talkies for Adults - Rechargeable, 300,000 sq. ft/25 Floor Range Two-Way Radio Set (6-Pack), Black",279,129,amazon_audio_video
Marshall Middleton Portable Bluetooth Speaker,299,76,amazon_audio_video
"SAMSUNG 35W Dual Port Wall Charger USB C Adapter, Super Fast Charging Block for Galaxy Phones and Devices, Cable Not Included, 2021, US Version, Black",32,"1,274",amazon_audio_video
"BAOFENG UV-5R Dual Band Two Way Radio (Black), 144-148MHz & 420-450MHz",44,"13,224",amazon_audio_video
"SanDisk 32GB Clip Sport Plus MP3 Player, Black - Bluetooth, LCD Screen, FM Radio - SDMX32-032G-G46K",279,"6,041",amazon_audio_video
"Marshall Acton III Bluetooth Home Speaker, Black",132,86,amazon_audio_video
Marshall Emberton Bluetooth Portable Speaker - Black,13,"5,607",amazon_audio_video
ByronStatics Portable Cassette Players Recorders FM AM Radio Walkman Tape Player Built In Mic External Speakers Manual Record VAS Automatic Stop System 2AA Battery Or USB Power Supply Headphone Jack,39,"18,920",amazon_audio_video
"Motorola T100 Talkabout Radio, 2 Pack",259,"9,421",amazon_audio_video
"DEWALT 20V MAX Bluetooth Radio, 100 ft Range, Battery and AC Power Cord Included, Portable for Jobsites (DCR025)",11,"1,915",amazon_audio_video
"MaximalPower RHF 617-1N 3.5mm RECEIVER/LISTEN ONLY Surveillance Headset Earpiece with Clear Acoustic Coil Tube Earbud Audio Kit For Two-Way Radios, Transceivers and Radio Speaker Mics Jacks , Black",121,"5,352",amazon_audio_video
"Motorola T600 Talkabout Radio, 2 Pack",26,"2,732",amazon_audio_video
JENSEN® Cassette Player/Recorder,159,"5,758",amazon_audio_video
"Cobra 29LX Professional CB Radio - Emergency Radio, Travel Essentials, NOAA Weather Channels and Emergency Alert System, Selectable 4-Color LCD, Auto-Scan and Radio Check, Black",29,"2,717",amazon_audio_video
"Pyle Wireless Portable Bluetooth Boombox Speaker - 100 Watt Rechargeable Boom Box Speaker Portable Music Barrel Loud Stereo System with AUX Input, MP3/USB/SD Port, Fm Radio, 2.5"" Tweeter PBMSPG3BK",133,"2,667",amazon_audio_video
Milwaukee 2951-20 M12 Lithium-Ion Cordless Radio + Charger (Tool Only),39,829,amazon_audio_video
"iOttie Car Charger Easy One Touch Wireless 2 Qi Charging Dashboard Phone Mount for iPhone, Samsung Galaxy, Huawei, LG, Smartphones",21,"5,518",amazon_audio_video
"LENRUE Bluetooth Speaker, Wireless Portable Speaker with Loud Stereo Sound, Rich Bass, 12-Hour Playtime, Built-in Mic. Perfect for iPhone, Samsung and More",22,"8,805",amazon_audio_video
"Leviton T5633-W 15-Amp Type A & Type-C USB Charger/Tamper Resistant Outlet, Not for Laptops, White",155,"1,773",amazon_audio_video
Harman Kardon Onyx Studio 6 Wireless Bluetooth Speaker - IPX7 Waterproof Extra Bass Sound System with Rechargeable Battery and Built-in Microphone - Black,99,"2,233",amazon_audio_video
"Cobra RX680 Waterproof Walkie Talkies for Adults - Rechargeable, 60 Preset Channels, Long Range 38-Mile Two-Way Radio Set (2-Pack),Black and Orange",,"1,048",amazon_audio_video
"45W USB C Super Fast Charger, INIU I622 PD PPS Foldable Dual USB C Wall Charger Supports Super Fast Charging for Samsung S23 Ultra/S23/S22/S21/S20/Note, MacBook Air, Steam Deck, iPhone 14, iPad",21,641,amazon_audio_video
Motorola Talkabout T465 Rechargeable Two-Way Radio Bundle (Green),97,"1,996",amazon_audio_video
"Uniden BCD436HP HomePatrol Series Digital Handheld Scanner. TrunkTracker V, Simple Programming, S.A.M.E. Emergency/Weather Alert, Covers USA and Canada",467,"2,980",amazon_audio_video
Marshall Emberton Bluetooth Portable Speaker - Black & Brass,119,"3,360",amazon_audio_video
"Motorola T260 Talkabout Radio, (Pack of 2)",79,"5,229",amazon_audio_video
10-Port USB Wall Charger Station with Rapid Charging Auto Detect Technology Safety Guaranteed Family-Sized USB Ports for Multiple Devices Smart Phone Tablet Laptop Computer,22,"4,425",amazon_audio_video
Marshall Willen Portable Bluetooth Speaker - Black & Brass,119,242,amazon_audio_video
"Klein Tools AEPJS1 Bluetooth Speaker, Wireless Portable Jobsite Speaker Plays Audio and Answers Calls Hands Free, IPX5, Worksite Ready, Orange, Black, Gray",39,"4,517",amazon_audio_video
"Uniden BC365CRS 500 Channel Scanner and Alarm Clock with Snooze, Sleep, and FM Radio with Weather Alert, Search Bands Commonly used for Police, Fire/EMS, Aircraft, Radio, and Marine Transmissions",95,"4,989",amazon_audio_video
"Amazon Basics 65W One-Port GaN USB-C Wall Charger with Power Delivery PD for Laptops, Tablets and Phones (iPhone 14/13/12/11/X, iPad, MacPro, Samsung, and more)-Black (non-PPS)",19,"3,736",amazon_audio_video
"SAMSUNG MX-ST40B Sound Tower High Power Audio, 160W Floor Standing Speaker, Bi-Directional Sound, Built-in Battery, IPX5 Water Resistant, Party Lights, Bluetooth Multi-Connection, 2022",247,98,amazon_audio_video
"Motorola T605 Talkabout, 2 Pack Bundle",119,"1,820",amazon_audio_video
"SAMSUNG Electronics Wireless Charger Trio, Qi Compatible - Charge up to 3 Devices at Once - for Galaxy Phones, Buds, Watches, and Apple iPhone Devices, Black (US Version)",61,"3,892",amazon_audio_video
"GPX PC332B Portable CD Player with Anti-Skip Protection, FM Radio and Stereo Earbuds - Black",24,"10,143",amazon_audio_video
Razer Mouse Dock Pro with Wireless Charging Puck: Magnetic Wireless Charging - Integrated HyperPolling 4K Hz Transceiver - Anti-Slip Base - Chroma RGB Lighting - Classic Black,69,55,amazon_audio_video
"KEYMOX Qi-Certified Wireless Charger for iPhone13/ 12/12 Mini/12 Pro Max / SE, 11, 11 Pro, 11 Pro Max, XR, Xs Max, XS, X, 8, 8 Plus, 10W Fast-Charging Galaxy S20 S10 S9 S8, Note 10(No AC Adapter)",10,"4,305",amazon_audio_video
"Amazon Basics 24W (4.8A) Two Port USB-A Car Charger for Apple, Android Devices and more, Black and Red",8,"19,329",amazon_audio_video
Belkin Magnetic Portable Wireless Charger Pad - 6 (2M) Long Cable - MagSafe Charger Compatible - iPhone Charger - Works w/ iPhone 14/13 & 12 - Power Supply Included - Black (Package May Vary),12,"1,585",amazon_audio_video
"Uniden BCD996P2 Digital Mobile TrunkTracker V Scanner, 25,000 Dynamically Allocated Channels, Close Call RF Capture Technology, 4-Line Alpha display, Base/Mobile Design, Phase 2, Location-Based Scanning",389,"1,321",amazon_audio_video
"Altec Lansing Sonic Boom - Waterproof Bluetooth Speaker with Phone Charger, IP67 Outdoor Speaker, 3 USB Charging Ports, 50 Foot Range & 20 Hours Battery Life",149,"1,101",amazon_audio_video
"USB C Charger, INIU 30W PD QC 3.0 Dual Port Type C Charger Fast Charging Block, USB C Wall Charger with Foldable Plug for iPhone 14 13 12 11 Pro Max Samsung S21 S20 Note 20 iPad Pro Google LG AirPods",15,"2,343",amazon_audio_video
"Uniden BC355N 800 MHz 300-Channel Base/Mobile Scanner, Close Call RF Capture, Pre-programmed Search Action Bands to Hear Police, Ambulance, Fire, Amateur Radio, Public Utilities, Weather, and More, Black",113,"5,151",amazon_audio_video
"SAMSUNG 15W Wireless Charger Single, Cordless Super Fast Charging Pad for Galaxy Phones and Devices, USB C Cable Included, 2022, US Version, Black",48,549,amazon_audio_video
"Amazon Basics 36W Two-Port USB-C Wall Charger with Power Delivery PD for Tablets & Phones (iPhone 14/13/12/11/X,iPad,Samsung)-Black (non-PPS)",13,"1,761",amazon_audio_video
"NOCO NUSB211NA 10W USB Power Adapter, 2.1A 5V Wall Charger and Compatible with NOCO, Apple, Samsung, Google, Amazon Devices",13,"5,088",amazon_audio_video
"Victrola Retro Wood Bluetooth Radio with Built-in Speakers, Elegant & Vintage Design, Rotary AM/FM Tuning Dial, Wireless Streaming, Walnut",54,"6,310",amazon_audio_video
Bose Music Amplifier  Speaker amp with Bluetooth & Wi-Fi connectivity,599,35,amazon_audio_video
Harman Kardon Onyx Studio 6 Wireless Bluetooth Speaker - IPX7 Waterproof Extra Bass Sound System with Rechargeable Battery and Built-in Microphone - Black (Renewed),158,501,amazon_audio_video
"Car Charger, 150W 2-Socket Cigarette Lighter Splitter QC 3.0 Dual USB Ports 1 USB C Fast Car Adapter with Separate Switch LED Voltmeter Replaceable 15A Fuse for GPS/Dash Cam/Phone/iPad",18,"5,628",amazon_audio_video
"Dell Dual Charge Dock HD22Q - Fabric Wrapped Charging Stand, Type-C Connector, Qi Enabled Charging, Wake-on-Dock, Smartphone Rest, Power Button LED - Magnetite,Black",131,28,amazon_audio_video
OtterBox Performance Car Dash & Windshield Mount for MagSafe - Black,49,914,amazon_audio_video
Sangean WR-11SE AM/FM Table Top Radio 40th Anniversary Edition Walnut,81,"5,133",amazon_audio_video
"PopSockets Phone Wallet with Expanding Grip, Phone Card Holder, Wireless Charging Compatible, Wallet for MagSafe - Blanc Fresh",39,112,amazon_audio_video
"Belkin 3-in-1 Wireless Charger - Fast Wireless Charging Stand for Apple iPhone, Apple Watch & AirPods - iPhone Case Compatible Qi Charger - Wireless Charging Station For Multiple Devices - Black",119,"2,953",amazon_audio_video
"Uniden Bearcat SR30C, 500-Channel Compact Handheld Scanner, Close Call RF Capture, Turbo Search, PC programable, NASCAR, Racing, Aviation, Marine, Railroad, and Non-Digital Police, Fire, Public Safety",99,"2,402",amazon_audio_video
"SAMSUNG Galaxy 15W Wireless Charger Single, Cordless Super Fast Charging Pad w/ Wall Charger and USB Type C Cable Included for Galaxy Phones and Devices, US Version, 2022, White",47,100,amazon_audio_video
Midland LXT600BBX4 FRS Business Bundle,319,"7,799",amazon_audio_video
"NOCO U65 65W USB-C Charger, Power Delivery (PD) Fast Charger, Portable Micro Wall Charger and International Travel Charger with Interchangeable Plugs for Apple, Google, Samsung, Microsoft and More",69,418,amazon_audio_video
"Amazon Basics 10W Qi Certified Wireless Charging Stand (No AC Adapter), Black",17,"1,666",amazon_audio_video
"USB A & USB C Charger Block, INIU 45W PD QC3.0 PPS USB-C Foldable Wall Charger Supports Super Fast Charging for Samsung S23 Ultra S23 S22 S21 S20, iPhone 14 13 12, iPad, MacBook Air, Steam Deck",18,109,amazon_audio_video
"Uniden PRO401HH Professional Series 40 Channel Handheld CB Radio, 4 Watts Power with Hi/Low Power Switch, Auto noise cancellation, Belt Clip And Strap Included, 2.75in. x 4.33in. x 8.66in.",49,"3,232",amazon_audio_video
"Bang & Olufsen Beosound A1 (2nd Generation) Wireless Portable Waterproof Bluetooth Speaker with Microphone, Anthracite",227,"2,845",amazon_audio_video
"3-in-1 MagSafe Charger Stand, 18W Fast Magnetic Charger for iPhone 14, 13 & 12 Series - Apple Watch & AirPods, Wireless Charging Station for Multiple Devices with Adapter and LED",35,137,amazon_audio_video
"Amazon Basics 15W Qi Certified Wireless Charging Pad (No AC Adapter), Black",17,"2,499",amazon_audio_video
"Samsung Type-C to Type-C 1.8m Cable (3A), Black",10,131,amazon_audio_video
"Samsung 65W 3-Port Super Fast Charging Wall Charger, 1x USB-C 65W, 1x USB-C 25W, 1x USB-A 25W, Max capacity 65W (Cable not included), Black, US version",59,195,amazon_audio_video
"Uniden HomePatrol-2 Color Touchscreen Simple Program Digital Scanner, TrunkTracker V and S,A,M,E, Emergency/Weather Alert, APCO P25 Phase 1 and 2! Covers USA and Canada, Quick Record and Playback",445,"1,312",amazon_audio_video
Marshall Acton II Bluetoth Speaker,250,"1,039",amazon_audio_video
"Belkin iPhone MagSafe Camera Mount for MacBook, iPhone Continuity Camera Mount, Turn iPhone to Webcam, Compatible with MacBook Pro, Air, iPhone 14, iPhone 13, iPhone 12, Black",29,324,amazon_audio_video
"Belkin 40W Dual Port USB C Wall Charger - USB Type C Charger Fast Charging for iPhone 14, 14 Pro, 14 Pro Max, 13, 13 Pro, 13 Pro Max, Galaxy S21 Ultra, iPad, AirPods & More - USBC Charger (1-Pack)",29,"1,290",amazon_audio_video
"Bang & Olufsen Beolit 20 Powerful Portable Wireless Bluetooth Speaker, Grey Mist",399,895,amazon_audio_video
FIRESTIK K-4A CB RADIO ANTENNA HEAVY DUTY SO-239 STUD MOUNT (BULK),12,"3,107",amazon_audio_video
Sangean LB-100 Ultra Rugged Compact AM / FM Radio Yellow,74,"3,461",amazon_audio_video
SABRENT 60 Watt (12 Amp) 10 Port [UL Certified] Family Sized Desktop USB Rapid Charger. Smart USB Ports with Auto Detect Technology [Black] (AX-TPCS),27,"8,255",amazon_audio_video
"Motorola T200 Talkabout Radio, 2 Pack",45,"1,147",amazon_audio_video
"Scosche MAGWDM MagicMount Magnetic Car Phone Holder Windshield or Dashboard Mount - 360 Degree Adjustable Head, Universal with All Devices - Flex Neck Suction Mount (Color:Black) XL",11,"11,049",amazon_audio_video
"Olympus WS-853 black voice recorder with true stereo mic, 8GB, 110 hours battery life, voice balance, direct USB connection, with MP3 file format.",75,"1,771",amazon_audio_video
"Uniden BCD325P2 Handheld TrunkTracker V Scanner. 25,000 Dynamically Allocated Channels. Close Call RF Capture Technology. Location-Based Scanning and S.A.M.E. Weather Alert. Compact Size.",348,818,amazon_audio_video
ULTIMATE EARS Boom 3 Portable Bluetooth Wireless Speaker (Waterproof) - Night Black (Renewed),24,"2,511",amazon_audio_video
"iOttie iTap 2 Magnetic Dashboard Car Mount Holder || Cradle for Samsung Galaxy S22, Google Pixel 7, Motorola Moto G, OnePlus 10, Sony Xperia & Other Android Smartphones",19,"5,128",amazon_audio_video
"ByronStatics Portable Disc CD player, Personal Walkman Music CD Players Anti-Skip Shockproof Protection, Portable and Lightweight, Headphones Jack, Powered DC or 2XAA Battery - Pink",94,908,amazon_audio_video
"Uniden MHS75 Waterproof Handheld 2-Way VHF Marine radio, Submersible, Selectable 1/2.5/5 Watt Transmit Power. All USA/International and Canadian Marine Channels - Color Black",41,"1,916",amazon_audio_video
"SAMSUNG 15W Wireless Charger Duo w/ USB C Cable, Charge 2 Devices at Once, Cordless Super Fast Charging Pad for Galaxy Phones and Devices, 2022, US Version, White",15,166,amazon_audio_video
"Amazon Basics Universal Smartphone Holder for Car Air Vent, Grey",428,"4,670",amazon_audio_video
"Marshall Woburn II Wireless Bluetooth Speaker Black, - New",76,"1,352",amazon_audio_video
"Cobra ACXT645 Waterproof Walkie Talkies for Adults - Rechargeable, 22 Channels, Long Range 35-Mile Two-Way Radio Set (2-Pack), Black and Orange, 1.74 x 2.54 x 6.74 inches",16,513,amazon_audio_video
"SAMSUNG 15W Wall Charger Type C (USB-C Cable Included), Black",69,355,amazon_audio_video
"NAXA Electronics NPB-426 Portable CD Player with AM/FM Stereo Radio, Cassette Player/Recorder and Twin Detachable Speakers",79,"3,159",amazon_audio_video
"Pyle 4 Waterproof Off-Road Bluetooth Speakers -800W Power w/ Amplified Speaker System for ATV/UTV,Aux (3.5mm) Input Jack,Marine Grade Weatherproof,Great for Use w/all 12V Vehicles- PLUTV43BTA ,Black",166,872,amazon_audio_video
Dual Electronics DBTMA100 Black Micro Wireless Bluetooth 2 Channel Stereo Class-D Amplifier | 3.5 mm AUX Input | Stereo RCA Outputs | 100 Watts Peak Power | Up to 100ft of Wireless Bluetooth Range,18,"1,601",amazon_audio_video
"Bang & Olufsen Beosound Explore - Wireless Portable Outdoor Bluetooth speaker, IP 67 Dustproof and Waterproof, Anthracite",,"1,181",amazon_audio_video
"TUFF TECH Cup Holder Universal Car Mount Phone Holder with Adjustable Base and Holder for -iPhone, Samsung, LG, Moto, Huawei, Smartphones",,260,amazon_audio_video
"iOttie Velox Magnetic Car Mount Air Vent Phone Holder. Compatible with MagSafe iPhones including iPhone 12, iPhone 13, iPhone 14, iPhone 12/13/14 Pro & Pro Max, iPhone 12/13 mini, iPhone 14 Plus",24,681,amazon_audio_video
"UGREEN 1/8 to 1/4 Stereo Cable 3.5mm TRS to 6.35mm Audio Cable Guitar to Aux Male Cord with Zinc Alloy Housing and Nylon Braid for Guitar, Laptop, Home Theater Devices, Speaker and Amplifiers 6FT",695,"11,525",amazon_audio_video
"mophie 15W Universal Wireless Charge Pad, Qi-Compatible Charger for Samsung Galaxy, Google Pixel, Apple iPhone 11/12/13 (Mini, Pro, and Pro Max), iPhone XR/XS/SE/ 8 (Black)",19,734,amazon_audio_video
"Samsung EP-TA20JBEUGUS Fast Charge USB-C 15W Wall Charger for Galaxy Note 8, 9, Galaxy S8, S8+, S9, S9+, S10, S10+, S10E Inbox Replacement - Retail Packaging - Black",27,"4,968",amazon_audio_video
"SAMSUNG Wireless Charger Fast Charge Pad (2021), Universally Compatible with Qi Enabled Phones (US Version), Black, 9W",18,"3,337",amazon_audio_video
SAMSUNG Sound Tower MX-T50 - 500-Watts - Black (2020),114,"1,220",amazon_audio_video
"Bitty Boomers Disney: Tim Burton's The Nightmare Before Christmas - Jack Skellington Vengeful Face - Glow in The Dark - Mini Bluetooth Speaker, Multicolored",27,"1,114",amazon_audio_video
Motorola Solutions Talkabout T475 Extreme Two-Way Radio Black W/Yellow Rechargeable Two Pack,85,283,amazon_audio_video
"Kenu Airframe Pro | Universal Vent Car Phone Mount Holder for iPhone, Android, Pixel, Samsung, LG, Moto, Huawei, Nokia, and Large to XL Smartphones",18,"17,410",amazon_audio_video
"Uniden Bearcat BC75XLT Handheld Scanner, 300 Channels, 10 banks, Close Call Technology, PC Programable, NOAA Weather, Aviation, Marine, Railroad, NASCAR, and Non-Digital Police/Fire/Public Safety",19,"2,854",amazon_audio_video
"Charging Block for iPhone, Charger Box, USB Cube, NonoUV 10-Pack Single Port Wall Charger 1A/5V USB Outlet Plug Adapter Power Bricks for iPhone 13 12 11 Pro SE XR XS X 8 7 6 6S Plus, iPad, Samsung",149,117,amazon_audio_video
"Macally Car Headrest Tablet Holder, Adjustable iPad Car Mount for Kids in Backseat, Compatible with Devices Such as iPad Pro Air Mini, Galaxy Tabs, And 7"" to 10"" Tablets and Cell Phones - Black",7,"2,751",amazon_audio_video
Marshall Stockwell II Portable Bluetooth Speaker - Black and Brass,9,"3,904",amazon_audio_video
Bitty Boomers Marvel: No Way Home Spider-Man Black & Gold Suit - Mini Bluetooth Speaker,14,"3,513",amazon_audio_video
"PopSockets Multi-Surface Phone Mount, Universal Phone Stand, Phone Holder Stand - Black",412,"2,002",amazon_audio_video
"KEY-BAK MIC-BAK CB Radio Retractable Tether, 36"" Kevlar Cord, 8"" Nylon Attachment Loop, D-Ring Mount Included (0KR3-4A11)",34,452,amazon_audio_video
"Eton - Elite 750, The Classic AM/FM/LW/VHF/Shortwave Radio with Single Side Band, 360° Rotating AM Antenna, 1000 Channels, Back-Up Battery Packs, Commitment to Preparedness",12,"2,343",amazon_audio_video
